name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
FattureInCloud;26111;5;5;2017-11-28;;60;13;80;59;60;831;85;58;22826;-1102;-1844;28.6;4;10.8;-1.82;7.23;-1.82;10479;-295;2017-10-27;22;429864;53;117;24;23;23;59;2017-10-27;;;;;;;;
Freshdesk;26115;990;990;2017-11-28;;113;134;105;97;127;2875;24;5454;1858;-161;-256;388;8.9;5.36;-9.153;48.65;-9.153;1440;5;2017-10-27;81;881;73;873944;6206;2970;2361;254424;2017-10-27;0;70292;90;2017-10-31;;8970;1331;2017-10-31
Harvest;26116;59;59;2017-11-28;;98;136;94;81;100;1140;73;774;26367;2658;2472;39.1;-13.35;1.85;2;1.69;2;38138;3100;2017-10-27;51;16627;63;5213;654;639;576;2684;2017-10-27;126;42138;20;2017-10-31;;25280;4562;2017-10-31
Highrise;26117;5;5;2017-11-28;;76;78;76;59;92;1718;51;618;20336;-248;-368;33;-0.909;9.87;1;7.64;1;9931;-113;2017-10-27;82;27927;62;38798;3935;3262;2639;19137;2017-10-27;;;;;;1268;190;2017-10-31
Hubspot;26118;2271;2271;2017-11-28;232449040.95;125;158;119;107;134;1741;50;33989;561;-12;2;1,064;-1.02;7.54;8.8;188;8.8;358;-34;2017-10-27;80;328;77;39093;2982;2443;1903;19951;2017-10-27;7003;1522280;10345;2017-10-31;;75629;26128;2017-10-31
"Ines CRM";26119;45;45;2017-11-28;;62;108;27;80;67;669;91;44;802796;448847;409951;0.57;-59.619;2.4;-41.56;0.03;-41.56;893602;589059;2017-10-27;9;2162821;47;1560;65;64;63;995;2017-10-27;1;128;8;2017-10-31;;5550;521;2017-10-31
Insightly;26120;150;150;2017-11-28;;94;129;86;86;94;1328;65;378;37169;83;480;25.6;-4.32;2.06;3;1.23;3;49730;-628;2017-10-27;27;26135;62;2618;465;435;386;2207;2017-10-27;55;35097;75;2017-10-31;;8299;1190;2017-10-31
Julitec;26121;;;;;45;91;12;25;83;811;82;12;1557074;-243457;237247;0.19;-17.86;5.9;300;0.03;300;1045614;-1202998;2017-10-27;13;1415413;49;27;7;7;7;27;2017-10-27;2;231;2;2017-10-31;;136;6;2017-10-31
Moneybird;26123;15;15;2017-11-28;;63;83;47;65;73;529;94;79;212024;49291;36254;2.8;-20.92;3.2;-35.08;0.21;-35.08;210592;84234;2017-10-27;13;251634;54;180;53;54;52;161;2017-10-27;;;;;;5329;573;2017-10-31
Odoo;26124;356;356;2017-11-28;;104;131;88;96;118;2616;28;2256;10223;-71;-65;75.8;-2.03;5.99;3;10.6;3;7140;-154;2017-10-27;27;4882;68;1650141;383;361;336;1630488;2017-10-27;0;35467;757;2017-10-31;;3619;550;2017-10-31
"Oro CRM";26125;360;360;2017-11-28;;75;112;44;85;89;3386;17;138;234693;26045;32923;2.3;-16.75;4.2;6;0.22;6;200914;15166;2017-10-27;12;217011;55;276;52;55;54;225;2017-10-27;0;744;4;2017-10-31;;1790;454;2017-10-31
Pipedrive;26126;280;280;2017-11-28;;99;131;98;86;95;1438;61;377;3859;247;264;166;-7.462;12.3;2;47.68;2;1472;72;2017-10-27;30;24938;62;12345;417;426;395;7195;2017-10-27;3;45586;820;2017-10-31;;8574;1334;2017-10-31
Podio;26127;9600;9600;2017-11-28;2932358630.25;98;87;95;104;104;1115;74;575;5342;337;452;127;-7.695;10.4;2;31.14;2;2352;151;2017-10-27;83;4318;68;833841;11779;9569;6936;572231;2017-10-27;;;;;;4034;992;2017-10-31
Prosperworks;26128;150;150;2017-11-28;;82;112;72;77;84;3126;20;115;33243;-943;977;19.1;-5.431;9.9;30;4.44;30;16322;-3745;2017-10-27;13;125279;57;234;57;61;61;198;2017-10-27;141;2208;101;2017-10-31;;1165;516;2017-10-31
salesforce;26131;25000;25000;2017-11-28;7199063474.4;139;153;141;128;140;1420;62;10150;124;-6;-8;3,783;1.4;19.08;-3.49;1,691;-3.49;48;1;2017-10-27;42;638;74;162308;12208;10708;5320;155682;2017-10-27;5162;674280;3279;2017-10-31;;50981;7484;2017-10-31
"SAP SE";26132;84180;84180;2017-11-28;20604527580;130;149;106;137;147;3445;17;15378;1941;151;178;396;-8.509;4.2;0;38.94;0;1839;160;2017-10-27;28;953;73;173100;2433;1933;1685;167744;2017-10-27;15630;903359;3264;2017-10-31;;18240;1410;2017-10-31
Sellf;26133;96;96;2017-11-28;;70;116;47;75;69;2170;37;71;673763;221424;233843;0.77;-44.91;1.9;20;0.03;20;855759;213308;2017-10-27;8;1736154;48;1855;240;243;223;1765;2017-10-27;0;6496;0;2017-10-31;;1878;1080;2017-10-31
Sellsy;26134;28;28;2017-11-28;;77;110;62;72;83;1566;56;50;105801;-31234;-28723;7.9;33;1.8;3;0.34;3;144673;-45253;2017-10-27;28;173444;56;385;90;103;98;367;2017-10-27;0;570;0;2017-10-31;;1799;3738;2017-10-31
Simplicate;26135;21;21;2017-11-28;;64;103;44;71;62;1775;49;30;524979;-559649;-520524;0.71;100;8.2;130;0.13;130;297658;-675640;2017-10-27;16;2010384;48;67;12;11;11;34;2017-10-27;16;340;17;2017-10-31;;348;291;2017-10-31
SugarCRM;26136;450;450;2017-11-28;;98;129;77;98;111;1294;67;2203;49481;2784;2295;15;-7.912;4.08;-5.991;1.44;-5.991;43694;4077;2017-10-27;23;9848;65;3867;505;461;423;3683;2017-10-27;375;7804;51;2017-10-31;;14246;1096;2017-10-31
SumaCRM;26137;5;5;2017-11-28;;63;77;59;59;67;1087;75;77;98235;-9573;-8828;6.7;7;4.2;8;0.65;8;85168;-12357;2017-10-27;9;808661;51;107;49;49;47;107;2017-10-27;;;;;;701;5294;2017-10-31
Teamwork;26138;110;110;2017-11-28;;99;130;98;84;100;1203;70;276;4084;-323;-357;182;3.4;6.41;7.7;27.36;7.7;2708;-353;2017-10-27;44;21555;63;5165;416;339;319;1893;2017-10-27;0;23797;75;2017-10-31;;7267;2556;2017-10-31
Timechimp;26139;5;5;2017-11-28;;56;87;34;59;66;;;15;1040522;254203;216967;0.42;-27.52;2.1;-17;0.02;-17;1216408;362400;2017-10-27;10;5342705;44;2;2;2;2;2;2017-10-27;0;149;6;2017-10-31;;76;10;2017-10-31
Visma;26140;4940;4940;2017-11-28;763941160.5;91;75;73;112;105;987;79;540;43074;-64;-491;19;-2.13;3.13;-2.8;1.4;-2.8;44808;744;2017-10-27;14;9250;65;1594;61;60;60;1551;2017-10-27;;;;;;495;10;2017-10-31
Vtiger;26141;104;104;2017-11-28;;87;115;69;81;102;1927;44;993;43746;3856;2344;19.9;-8.601;2.52;-13.99;1.17;-13.99;51947;8778;2017-10-27;19;17525;63;9277;450;410;384;8074;2017-10-27;13;4103;23;2017-10-31;;882;46;2017-10-31
Wefact;26142;5;5;2017-11-28;;62;101;26;59;91;537;93;34;1853432;-423329;-517418;0.19;40;2.3;-12.5;0.01;-12.5;1999104;-281712;2017-10-27;11;131549;57;38;16;14;14;38;2017-10-27;1;221;2;2017-10-31;;442;6;2017-10-31
WhiteWorks;26143;6700;6700;2017-01-12;;64;99;13;101;78;1722;42;9;1307167;126868;87575;0.39;-12.57;1.1;-7.377;0.01;-7.377;1983221;230300;2017-10-27;9;2636285;47;24;7;7;7;24;2017-10-27;8;664;2;2017-10-31;;300;3;2017-10-31
Wrike;26144;430;430;2017-11-28;;98;128;95;87;96;4122;11;718;4686;-23;-10;164;-2.32;6.03;8.8;23.22;8.8;3209;-279;2017-10-27;20;17341;63;2686;436;413;379;2539;2017-10-27;0;14608;47;2017-10-31;;11482;1425;2017-10-31
Zoho;26145;5080;5080;2017-11-28;;123;138;120;113;128;1831;47;7291;457;-43;-37;1,295;4.6;7.07;0.1;214.3;0.1;317;-19;2017-10-27;80;1390;72;365843;4126;2496;2093;266704;2017-10-27;48;139392;3802;2017-10-31;;11440;4344;2017-10-31
Teamleader;26146;170;170;2017-11-28;;81;112;70;90;71;1252;68;61;52305;-7140;-6275;13.5;8;4.84;10;1.53;10;41438;-9609;2017-10-27;14;275471;54;74;24;26;26;58;2017-10-27;0;26842;29;2017-10-31;;233;57;2017-10-31
ABCrm;26148;;;;;32;64;0;25;64;;;1;;;;;;;;;;;;2017-10-27;8;29612050;36;13;2;2;2;13;2017-10-27;;;;;;106;8;2017-10-31
ActiveColab;26149;5;5;2017-01-19;;85;128;73;67;94;1912;44;400;35920;-1494;-2331;22;3;3.86;-6.988;1.99;-6.988;33283;462;2017-10-27;81;34092;61;55138;3039;2510;2092;42179;2017-10-27;0;7037;16;2017-10-31;;8444;4473;2017-10-31
"Agile CRM";26153;137;137;2017-11-28;;89;122;77;77;98;2904;23;108;26313;-1074;-624;24.5;-1.14;10.7;16;6.11;16;12233;-1910;2017-10-27;18;16716;63;491;98;107;102;411;2017-10-27;0;6594;313;2017-10-31;;7682;914;2017-10-31
Asana;26154;360;360;2017-11-28;;112;145;118;89;106;5619;5;1734;578;1;23;1,055;-3.47;6.9;7.8;170.5;7.8;395;-20;2017-10-27;86;4990;68;109367;14471;11614;8106;64688;2017-10-27;493;218903;1711;2017-10-31;;27699;14957;2017-10-31
Batchbook;26155;8;8;2017-11-28;;73;123;47;62;90;3170;20;211;295305;81525;86024;1.7;-31.85;4.4;-15.22;0.17;-15.22;244040;82493;2017-10-27;17;79501;58;7655;1598;1180;1009;6007;2017-10-27;0;5147;4;2017-10-31;;6080;370;2017-10-31
BedeskExpress;26156;;;;;43;92;12;25;77;;;117;4661176;580461;1152614;0.06;-30;2;60;0;60;4959911;-383638;2017-10-27;9;3561301;46;4;3;3;3;4;2017-10-27;0;446;1;2017-10-31;;177;0;2017-10-31
Bexio;26158;40;40;2017-11-28;;76;114;62;70;82;1415;62;58;73076;678;-618;7.7;-2.23;10;-9.704;1.8;-9.704;36138;2927;2017-10-27;22;213883;55;149;31;30;30;77;2017-10-27;0;2572;8;2017-10-31;;1274;1019;2017-10-31
Billings;26159;32;32;2017-11-28;;74;118;41;69;101;1904;45;421;348568;39184;45607;1.6;-17.54;2.8;6;0.1;6;374705;29715;2017-10-27;17;73242;58;1850;391;387;356;1683;2017-10-27;0;1023;5;2017-10-31;;9773;1574;2017-10-31
"BPM Online";26161;150;150;2017-11-28;;81;119;63;77;88;1425;62;166;86118;-8190;-12184;7.9;10;3.98;-12.33;0.74;-12.33;76827;-756;2017-10-27;14;160168;56;1450;93;91;85;1423;2017-10-27;6;13123;357;2017-10-31;;1361;231;2017-10-31
Capsule;26165;;;;;67;82;77;25;85;1174;71;302;25038;5038;6605;23.9;-22.14;15.7;-7.597;8.77;-7.597;8713;2376;2017-10-27;56;64326;59;13645;1630;1330;1112;7888;2017-10-27;;;;;;3127;247;2017-10-31
Charibase;26167;30;30;2017-10-28;;49;73;0;69;84;;;9;6246663;-8221685;-7831053;0.03;200;3;60;0;60;5543276;-8859857;2017-10-27;11;2270610;47;3;3;3;3;3;2017-10-27;;;;;;711;43;2017-10-31
Clarizen;26170;200;200;2017-11-28;;84;120;68;87;85;1537;57;1515;51842;4052;3822;13.7;-10.55;4.73;-5.4;1.52;-5.4;41750;4710;2017-10-27;12;146990;56;1155;87;86;85;1069;2017-10-27;0;3460;5;2017-10-31;;9540;120;2017-10-31
Datafakt;26174;;;;;32;77;0;25;56;;;1;;;;;;;;;;;;2017-10-27;6;89706083;22;109;11;8;8;109;2017-10-27;0;38;0;2017-10-31;;17;0;2017-10-31
Daylite;26176;32;32;2017-11-28;;74;118;41;69;101;1904;45;421;348568;39184;45607;1.6;-17.54;2.8;6;0.1;6;374705;29715;2017-10-27;17;73242;58;1850;391;387;356;1683;2017-10-27;0;1023;5;2017-10-31;;9773;1574;2017-10-31
Debitoor;26178;10;10;2017-11-28;;78;116;70;63;82;1861;46;52;49359;-8259;-5745;15.3;9;3.88;25;1.39;25;44991;-14801;2017-10-27;41;328998;54;9100;427;421;375;6564;2017-10-27;0;15758;6;2017-10-31;;1212;713;2017-10-31
Deskflow;26179;5;5;2017-01-19;;45;102;0;59;60;;;1;;;;;;;;;;;;2017-10-27;4;57196945;30;0;0;0;0;0;2017-10-27;0;1068;4;2017-10-31;;436;2;2017-10-31
Digitaalkantoor;26181;10;10;2017-11-28;;54;112;0;63;88;;;20;3694072;-954127;-1467375;0.08;60;2;-36.4;0;-36.4;4365196;-85150;2017-10-27;10;909525;50;552;72;56;54;552;2017-10-27;1;600;0;2017-10-31;;1253;0;2017-10-31
DigitaleFactuur;26182;;;;;30;102;17;25;11;;;1;14705564;12453864;11418866;0.01;-94.444;1;-12.28;0;-12.28;16968554;13713528;2017-10-27;0;0;0;0;0;0;0;0;2017-10-27;0;778;0;2017-10-31;;305;54;2017-10-31
Dolibarr;26183;390;390;2017-11-28;;84;119;58;83;100;2548;29;2945;144905;-9191;-5271;4;2;4.6;10;0.44;10;117680;-17502;2017-10-27;33;40207;60;1626;97;89;86;842;2017-10-27;0;34626;37;2017-10-31;;285;6;2017-10-31
Efficy;26186;60;60;2017-11-28;;68;85;31;84;96;1005;78;59;1078763;256228;275730;0.38;-32.04;2.6;3;0.02;3;1130017;242240;2017-10-27;19;605859;52;71;34;14;13;71;2017-10-27;9;286;8;2017-10-31;;105;0;2017-10-31
Emnis;26187;30;30;2017-11-28;;36;0;0;69;75;;;6;6740300;-11644796;-10040823;0.03;300;2;70;0;70;7447970;-12406108;2017-10-27;9;4605400;45;831;279;43;40;829;2017-10-27;;;;;;;;
Factusol;26190;60;60;2017-11-28;;64;121;22;75;79;;;6;;;;;;;;;;;;2017-10-27;9;17167108;39;2;2;2;2;2;2017-10-27;714;14677;109;2017-10-31;;2639;5789;2017-10-31
Factuursturen.be;26191;;;;;32;94;0;25;46;517;95;24;1145683;582144;659228;0.3;-59.498;4.2;-12.58;0.03;-12.58;931329;494179;2017-10-27;13;1389977;49;63;10;9;9;33;2017-10-27;0;1389;2;2017-10-31;;94;30;2017-10-31
Flowcrm;26192;30;30;2017-11-28;;56;96;12;69;83;1392;49;17;7405939;4114038;3689642;0.03;-70.455;1;-1.96;0;-1.96;9725524;4936685;2017-10-27;26;1121191;50;52023;71;64;62;51626;2017-10-27;9;136;15;2017-10-31;;338;110;2017-10-31
Forcemanager;26193;100;100;2017-11-28;;68;117;31;85;74;636;91;73;454194;124698;139755;0.99;-33.63;4.3;-5.882;0.1;-5.882;377127;111860;2017-10-27;34;2510331;47;6448;248;259;237;4416;2017-10-27;10;6256;3;2017-10-31;;1208;219;2017-10-31
Freshbooks;26194;290;290;2017-11-28;;101;137;93;81;110;1537;57;2284;5418;8;5;152;-2.32;4.62;0.4;16.4;0.4;4623;52;2017-10-27;28;4377;68;114387;1362;1327;1121;114239;2017-10-27;321;64457;196;2017-10-31;;20530;5969;2017-10-31
Aareon;26197;;;;;41;0;35;35;81;;;17;2586074;277049;716047;0.1;-30.77;5;100;0.01;100;1866157;-515909;2017-10-27;11;660491;51;2;2;2;2;2;2017-10-27;;;;;;;;
HQLabs;26198;5;5;2017-01-19;;63;103;29;62;87;608;92;25;1059698;224047;212616;0.42;-27.23;2;-4.65;0.02;-4.65;1251974;271675;2017-10-27;15;1162608;49;28;10;10;10;14;2017-10-27;0;2609;71;2017-10-31;;361;160;2017-10-31
iMuis;26199;15;15;2017-11-28;;57;106;0;65;100;;;36;2961659;-273357;121523;0.09;-8.108;3.1;70;0.01;70;2706443;-1076486;2017-10-27;17;65908;59;126;15;15;15;105;2017-10-27;7;307;18;2017-10-31;;954;25;2017-10-31
"Infusion Soft";26200;700;700;2017-11-28;;116;142;113;92;128;1712;51;2308;686;-35;-12;1,132;2.1;2.72;0.4;72.15;0.4;938;-59;2017-10-27;26;725;74;22916;815;759;676;22771;2017-10-27;1035;185584;2411;2017-10-31;;30426;8468;2017-10-31
Insusoft;26201;75;75;2017-11-28;;51;47;13;74;86;883;83;85;13243268;8132405;8154443;0.01;-75;2;-39.76;0;-39.76;12776389;8450981;2017-10-27;15;1150705;50;7980;32;11;11;7954;2017-10-27;;;;;;1;0;2017-10-31
Isiigo;26202;;;;;41;95;13;29;62;;;6;14239782;4676293;4557598;0.01;-55.556;1;0;0;0;16591859;4443860;2017-10-27;17;40480973;33;96;24;23;23;43;2017-10-27;0;45;0;2017-10-31;;295;21;2017-10-31
itool.com;26203;15;15;2017-11-28;;58;98;13;65;91;1053;67;65;2162850;686083;780934;0.17;-47.967;2;40;0.01;40;2656352;517412;2017-10-27;10;1013697;50;53;21;21;21;53;2017-10-27;2;121;2;2017-10-31;;1075;95;2017-10-31
King;26204;75;75;2017-11-28;;65;113;17;74;95;;;24;3504543;-2220274;-1648034;0.07;60;3;80;0.01;80;3134509;-3242531;2017-10-27;16;267837;54;9;9;9;9;9;2017-10-27;26;1808;29;2017-10-31;;4721;49;2017-10-31
Koalaboox;26205;5;5;2017-09-28;;64;102;52;59;65;1880;45;50;288817;-23804;-27767;1.4;6;9.4;6;0.32;6;151480;-18717;2017-10-27;17;4470574;45;65;16;15;14;59;2017-10-27;1;1551;171;2017-10-31;;307;92;2017-10-31
"Less Annoying CRM";26206;16;16;2017-11-28;;73;107;61;65;76;2386;32;60;82980;-2996;-261;8.81;-2.78;3.1;10;0.65;10;85542;-9668;2017-10-27;13;321089;54;196;41;42;42;166;2017-10-27;41;1567;13;2017-10-31;;645;564;2017-10-31
Liquidplanner;26207;70;70;2017-11-28;;83;128;69;73;85;2305;34;333;42315;-189;86;20.7;-3.15;2.53;2;1.23;2;50019;-783;2017-10-27;14;145781;56;911;117;134;124;824;2017-10-27;180;18856;47;2017-10-31;;6826;254;2017-10-31
Sage;26208;15;15;2017-09-28;;101;137;100;82;100;1966;43;364;23673;145;-23;27;-2.52;11.6;-0.687;7.32;-0.687;10343;221;2017-10-27;32;51268;60;43235;816;805;689;31736;2017-10-27;4386;654278;125;2017-10-31;;3349;596;2017-10-31
Logidrive;26209;15;15;2017-11-28;;52;98;0;65;87;3666;16;10;9144944;;;0.02;0;2;0;0;0;8990831;;2017-10-27;12;748147;51;8;3;3;3;8;2017-10-27;1;598;0;2017-10-31;;312;14;2017-10-31
MacFour;26210;;;;;21;0;0;25;60;;;1;;;;;;;;;;;;2017-10-27;5;53019912;31;0;0;0;0;0;2017-10-27;;;;;;;;
Malinko;26212;5;5;2017-11-28;;44;71;11;59;60;1707;41;31;360328;20317;43736;0.83;-11.21;40;10;0.78;10;73495;-1208;2017-10-27;15;5934610;44;20;10;10;10;20;2017-10-27;;;;;;1001;13;2017-10-31
Maximizer;26213;154;154;2017-11-28;;79;120;43;85;99;659;91;241;370349;17665;-13148;1.7;2;1.6;-27.31;0.06;-27.31;530210;98967;2017-10-27;11;119754;57;355;71;76;74;285;2017-10-27;20;1323;34;2017-10-31;;14809;454;2017-10-31
MKB-logic;26214;5;5;2017-11-28;;36;0;0;59;84;;;16;18171465;;;0.01;0;2;0;0;0;16356098;;2017-10-27;16;990366;50;12;12;10;9;12;2017-10-27;;;;;;;;
Mycosuite;26216;5;5;2017-11-28;;42;69;0;61;65;;;19;5425076;-1515262;-1687406;0.05;40;2;0;0;0;5648060;-1621265;2017-10-27;8;22904148;38;659;6;5;5;638;2017-10-27;;;;;;207;0;2017-10-31
Netsuite;26217;4603;4603;2017-11-28;635794669.65;115;141;103;115;118;2889;23;3000;2567;-114;-191;268;2.5;7.35;-1.47;46.13;-1.47;1518;-46;2017-10-27;17;2533;70;4698;363;373;342;4140;2017-10-27;0;13236;587;2017-10-31;;20446;2431;2017-10-31
Nimble;26219;1000;1000;2017-11-28;;86;130;64;88;91;2083;39;811;70608;4703;6402;8.92;-11.35;6.16;2;1.29;2;48017;2944;2017-10-27;18;41779;60;1964;324;303;282;1928;2017-10-27;298;4063;28;2017-10-31;;49472;7278;2017-10-31
"Paymo Timetracking";26223;22;22;2017-11-28;;76;118;61;67;80;2092;39;95;70463;11381;16175;10.3;-26.72;3.54;26;0.86;26;67715;2584;2017-10-27;13;175113;56;154;33;33;32;114;2017-10-27;0;1806;4;2017-10-31;;6459;97;2017-10-31
Perfectview;26225;15;15;2017-11-28;;31;0;0;69;54;1645;48;65;1236533;198969;176855;0.35;-20.37;1.9;-8.095;0.02;-8.095;1488000;271907;2017-10-27;20;621024;52;119;17;18;18;95;2017-10-27;;;;;;;;
"Pipeline Deals";26226;29;29;2017-11-28;;78;121;60;73;83;2609;28;813;80254;12577;14860;6.9;-18.26;9.7;-14.49;1.57;-14.49;40676;10014;2017-10-27;12;191460;55;852;128;125;121;821;2017-10-27;97;10702;4;2017-10-31;;3706;1790;2017-10-31
ProAd;26228;;;;;56;104;33;28;90;324;98;41;865968;349854;317517;0.57;-47.922;1.8;-8.854;0.02;-8.854;1118594;461441;2017-10-27;32;712067;51;796;100;84;81;416;2017-10-27;0;1922;10;2017-10-31;;564;24;2017-10-31
Projectfacts;26229;;;;;38;91;0;25;72;;;2;7533353;-711814;-1828261;0.02;30;2.7;-48.263;0;-48.263;6920158;1318171;2017-10-27;9;13567678;40;18;2;2;2;18;2017-10-27;0;197;0;2017-10-31;;124;1;2017-10-31
Reviso;26231;;;;;56;50;58;25;89;669;90;25;135449;-11623;-23913;5.1;20;2.8;-26.84;0.33;-26.84;147051;13472;2017-10-27;16;235911;55;157;12;11;11;64;2017-10-27;;;;;;3;0;2017-10-31
"Salary book";26233;;;;;36;103;0;25;59;;;5;18505881;;;0.01;0;1;0;0;0;19776881;;2017-10-27;5;61944579;29;1;1;1;1;1;2017-10-27;0;288;0;2017-10-31;;586;33;2017-10-31
Smartsheet;26235;730;730;2017-11-28;;101;128;98;86;107;1526;58;729;2798;-99;-32;370;-0.14;1.7;0;14.8;0;5129;-26;2017-10-27;21;6578;67;2547;360;357;316;2457;2017-10-27;0;11038;123;2017-10-31;;13653;5409;2017-10-31
Snelstart;26236;120;120;2017-11-28;;72;117;33;76;94;809;86;144;663328;-93151;-72353;0.63;10;3.8;20;0.06;20;585390;-146595;2017-10-27;26;50734;60;177;35;35;35;160;2017-10-27;49;2884;55;2017-10-31;;3504;1376;2017-10-31
Streamtime;26237;15;15;2017-11-28;;67;114;36;73;78;5116;6;43;423356;-195769;-198064;1.2;55;3;7;0.08;7;435089;-213741;2017-10-27;36;1194132;49;3503;169;181;177;2820;2017-10-27;0;593;2;2017-10-31;;6284;1008;2017-10-31
Thinx;26239;;;;;27;44;0;25;56;;;;;;;;;;;;;;;2017-10-27;1;86281002;23;0;0;0;0;0;2017-10-27;;;;;;2;0;2017-10-31
Toggl;26241;39;39;2017-11-28;;94;132;95;70;95;2564;29;639;3679;166;165;267;-6.22;2.27;3;14.2;3;5350;160;2017-10-27;83;13396;64;26101;4686;4097;3120;23195;2017-10-27;0;15775;2726;2017-10-31;;20350;4705;2017-10-31
Tomsplanner;26242;5;5;2017-11-28;;70;106;52;59;87;1081;75;185;132355;6183;4383;6.7;-7.154;1.3;-2.92;0.21;-2.92;211515;12714;2017-10-27;13;183295;55;1037;148;140;119;988;2017-10-27;1;504;2;2017-10-31;;803;42;2017-10-31
