name;id;"employees (lower bound)";"employees (upper bound)";employee_date;revenue;"datascouts score";social_score;traction_score;business_size_score;seo_score;median_load_time;median_load_time_percentile;incoming_links_count;alexa_rank;alexa_rank_change;reach_alexa_rank_change;reach_per_million;reach_per_million_change_percentile;page_views_per_user;page_views_per_user_change_percentile;page_views_per_million;page_views_per_million_change_percentile;page_views_alexa_rank;page_views_alexa_rank_change;alexa_date;rank;top_rank;domain_rating;backlinks_count;referring_domains_count;referring_ips_count;referring_class_c_count;referring_pages_count;ahrefs_date;checkins_count;likes_count;talking_about_count;facebook_date;listed_count;tweet_count;favourites_count;twitter_date
Highrise;26117;5;5;2017-11-28;;76;78;76;59;92;1549;57;618;20048;-1360;-1970;34.3;6;9.8;-0.508;7.88;-0.508;9814;-584;2017-08-27;82;22932;62;45522;3803;3307;2691;22498;2017-08-27;;;;;;1268;190;2017-08-29
Hubspot;26118;2271;2271;2017-11-28;232449040.95;125;158;119;107;134;1783;49;33989;575;-8;-34;1,088;2;7.13;-0.834;181.9;-0.834;388;-7;2017-08-27;80;326;76;39648;3041;2404;1912;20006;2017-08-27;6785;1493074;11723;2017-08-29;;75629;26128;2017-08-29
"Ines CRM";26119;45;45;2017-11-28;;62;108;27;80;67;669;91;44;401093;48222;10952;1.3;-5.823;3.3;-38.26;0.1;-38.26;387144;128428;2017-08-25;21;2138971;48;1596;72;72;70;1030;2017-08-25;1;125;0;2017-08-29;;5550;521;2017-08-29
Insightly;26120;150;150;2017-11-28;;94;129;86;86;94;1724;51;378;36729;4158;4429;26.8;-15.58;2.05;6;1.28;6;49309;3685;2017-08-27;29;27929;62;2791;489;458;409;2393;2017-08-27;54;34991;53;2017-08-29;;8299;1190;2017-08-29
Julitec;26121;;;;;45;91;12;25;83;811;82;12;1730998;-658680;-673547;0.23;50;1.9;-3.59;0.01;-3.59;2068653;-683125;2017-08-27;12;1123378;50;24;5;5;5;24;2017-08-27;2;228;0;2017-08-29;;136;6;2017-08-29
Moneybird;26123;15;15;2017-11-28;;63;83;47;65;73;456;96;79;184987;64805;67089;3.2;-39.16;4.1;-20.24;0.3;-20.24;161427;69373;2017-08-25;12;277670;54;175;53;54;52;164;2017-08-25;;;;;;5329;573;2017-08-29
Odoo;26124;356;356;2017-11-28;;104;131;88;96;118;2216;36;2256;9969;-359;-219;79.8;1;6;6;11.2;6;6872;-638;2017-08-25;27;5392;67;1224046;395;347;327;1204635;2017-08-25;0;34545;306;2017-08-29;;3619;550;2017-08-29
"Oro CRM";26125;360;360;2017-11-28;;75;112;44;85;89;3283;19;138;193512;-13089;-15825;2.9;5;4.3;0.2;0.3;0.2;162908;-10043;2017-08-27;12;210557;55;274;57;63;61;228;2017-08-27;0;738;2;2017-08-29;;1790;454;2017-08-29
Pipedrive;26126;280;280;2017-11-28;;99;131;98;86;95;1306;66;377;3541;-467;-645;184;11;12;-1.39;51.86;-1.39;1385;-142;2017-08-27;41;26935;62;24610;437;440;405;14015;2017-08-27;3;40725;1140;2017-08-29;;8574;1334;2017-08-29
Podio;26127;9600;9600;2017-11-28;2932358630.25;98;87;95;104;104;1025;77;575;5221;475;476;135;-6.797;10.1;-4.27;31.92;-4.27;2329;240;2017-08-27;83;4242;68;743417;11610;9368;6831;522576;2017-08-27;;;;;;4034;992;2017-08-29
Prosperworks;26128;150;150;2017-11-28;;82;112;72;77;84;3522;16;115;33218;-1778;-2174;20.8;4;7.85;2;3.82;2;19178;-1330;2017-08-25;13;201310;55;194;59;62;61;160;2017-08-25;133;1980;56;2017-08-29;;1165;516;2017-08-29
salesforce;26131;25000;25000;2017-11-28;7199063474.4;139;153;141;128;140;1448;61;10150;126;-9;-20;3,886;6.9;19.54;-5.558;1,780;-5.558;47;3;2017-08-27;41;634;74;160274;12196;10500;5298;154095;2017-08-27;5168;661612;3150;2017-08-29;;50981;7484;2017-08-29
"SAP SE";26132;84180;84180;2017-11-28;20604527580;130;149;106;137;147;3196;20;15378;1854;88;86;426;-4.39;4.1;-3.3;40.95;-3.3;1780;126;2017-08-27;27;945;73;158960;2199;1893;1667;150487;2017-08-27;15483;863004;1803;2017-08-29;;18240;1410;2017-08-29
Sellf;26133;96;96;2017-11-28;;70;116;47;75;69;2170;37;71;489401;-22875;-67275;1.3;20;1.5;-29.19;0.05;-29.19;710677;82302;2017-08-25;8;2045244;48;1550;213;226;207;1472;2017-08-25;0;6466;0;2017-08-29;;1878;1080;2017-08-29
Sellsy;26134;28;28;2017-11-28;;77;110;62;72;83;1550;57;50;107993;-51981;-53660;7.8;65;1.8;-9.852;0.34;-9.852;148063;-58461;2017-08-27;28;198770;55;433;94;101;97;415;2017-08-27;0;569;1;2017-08-29;;1799;3738;2017-08-29
Simplicate;26135;21;21;2017-11-28;;64;103;44;71;62;1312;66;30;969128;218642;258162;0.37;-29.69;5.1;-3.04;0.04;-3.04;717136;166185;2017-08-25;15;2242426;47;49;9;8;8;25;2017-08-25;15;311;10;2017-08-29;;348;291;2017-08-29
SugarCRM;26136;450;450;2017-11-28;;98;129;77;98;111;1279;67;2203;46830;4724;2870;16.4;-7.937;4.21;-19.81;1.62;-19.81;40462;8600;2017-08-27;21;9150;65;3700;536;460;418;3497;2017-08-27;371;7720;82;2017-08-29;;14246;1096;2017-08-29
SumaCRM;26137;5;5;2017-11-28;;63;77;59;59;67;917;82;77;119891;21677;26366;5.4;-25.31;4;8;0.51;8;106602;15475;2017-08-27;9;723729;51;111;53;54;53;109;2017-08-27;;;;;;701;5294;2017-08-29
Teamwork;26138;110;110;2017-11-28;;99;130;98;84;100;1585;56;276;4260;-414;-601;184;11;5.87;-4.71;25.33;-4.71;3029;-191;2017-08-27;44;20268;63;5080;400;329;312;1917;2017-08-27;0;0;0;2017-08-29;;7267;2556;2017-08-29
Timechimp;26139;5;5;2017-11-28;;56;87;34;59;66;;;15;848288;-12564;8912;0.53;-3.48;2.6;10;0.03;10;902487;-66774;2017-08-27;11;6229094;44;10;4;5;4;10;2017-08-27;0;138;6;2017-08-29;;76;10;2017-08-29
Visma;26140;4940;4940;2017-11-28;763941160.5;91;75;73;112;105;1190;71;540;43460;39;-806;19.3;0.2;3.19;-7.536;1.44;-7.536;44581;1945;2017-08-27;14;10021;65;1489;59;60;60;1447;2017-08-27;;;;;;495;10;2017-08-29
Vtiger;26141;104;104;2017-11-28;;87;115;69;81;102;1874;46;993;40264;842;1606;21.6;-6.018;2.89;6;1.46;6;44092;-729;2017-08-27;20;17357;63;9973;465;421;388;8573;2017-08-27;13;4110;22;2017-08-29;;882;46;2017-08-29
Wefact;26142;5;5;2017-11-28;;62;101;26;59;91;537;93;34;1958531;230927;164002;0.19;-13.75;2;-15.7;0.01;-15.7;2237148;395640;2017-08-25;11;134243;57;41;17;14;14;41;2017-08-25;1;206;1;2017-08-29;;442;6;2017-08-29
WhiteWorks;26143;6700;6700;2017-01-12;;64;99;13;101;78;1722;42;9;1270405;61113;52102;0.41;-8.485;1.2;-0.84;0.01;-0.84;1905111;84717;2017-08-27;10;2399969;47;20;5;5;5;19;2017-08-27;8;659;13;2017-08-29;;300;3;2017-08-29
Wrike;26144;430;430;2017-11-28;;98;128;95;87;96;4545;9;718;4629;-317;-342;172;5.3;5.73;6.9;23.06;6.9;3325;-492;2017-08-27;18;17384;63;3297;448;423;390;3155;2017-08-27;0;14408;47;2017-08-29;;11482;1425;2017-08-29
Zoho;26145;5080;5080;2017-11-28;;123;138;120;113;128;1754;50;7291;480;-54;-65;1,290;11;7.03;-0.14;212.5;-0.14;331;-41;2017-08-27;80;1445;71;156116;4133;2509;2091;117858;2017-08-27;48;128820;5601;2017-08-29;;11440;4344;2017-08-29
Teamleader;26146;170;170;2017-11-28;;81;112;70;90;71;1178;71;61;57440;-6254;-7664;12.9;10;4.3;-1.83;1.3;-1.83;48918;-4513;2017-08-25;15;83882;58;53;21;25;25;53;2017-08-25;0;24412;11;2017-08-29;;233;57;2017-08-29
ABCrm;26148;;;;;32;64;0;25;64;;;1;;;;;;;;;;;;2017-08-25;8;29629321;36;13;2;2;2;13;2017-08-25;;;;;;106;8;2017-08-29
ActiveColab;26149;5;5;2017-01-19;;85;128;73;67;94;1795;48;400;36155;-635;-868;22.2;0.5;4.1;-1.2;2.13;-1.2;32093;-423;2017-08-27;81;36009;61;51200;2733;2468;2072;40241;2017-08-27;0;6816;150;2017-08-29;;8444;4473;2017-08-29
"Agile CRM";26153;137;137;2017-11-28;;89;122;77;77;98;2382;32;108;26001;-3796;-5148;26.3;15;9.12;-1.51;5.62;-1.51;13475;-1747;2017-08-27;15;18472;63;548;96;106;99;468;2017-08-27;0;4600;39;2017-08-29;;7682;914;2017-08-29
Asana;26154;360;360;2017-11-28;;112;145;118;89;106;6105;4;1734;585;8;-9;1,099;-0.526;6.48;1.7;166.9;1.7;408;-18;2017-08-27;86;5259;67;111226;14444;11552;8073;66575;2017-08-27;0;0;0;2017-08-29;;27699;14957;2017-08-29
Batchbook;26155;8;8;2017-11-28;;73;123;47;62;90;3170;20;211;220274;6050;5822;2.4;-6.142;5.3;-0.743;0.3;-0.743;163435;6618;2017-08-27;15;54532;60;8854;1424;1214;1027;6960;2017-08-27;0;5157;2;2017-08-29;;6080;370;2017-08-29
BedeskExpress;26156;;;;;43;92;12;25;77;;;117;3585388;-417413;123404;0.08;-6.061;2;70;0;70;3993308;-1508244;2017-08-25;12;3657363;46;5;4;4;4;5;2017-08-25;0;0;0;2017-08-29;;177;0;2017-08-29
Bexio;26158;40;40;2017-11-28;;76;114;62;70;82;1533;58;58;70726;-424;-2097;8.1;-0.3;11;-5.724;2.06;-5.724;33143;1217;2017-08-27;23;224290;55;154;34;35;35;80;2017-08-27;0;2516;85;2017-08-29;;1274;1019;2017-08-29
Billings;26159;32;32;2017-11-28;;74;118;41;69;101;1383;63;421;332923;59371;54791;1.8;-22.51;2.4;-7.004;0.1;-7.004;386782;80258;2017-08-27;16;73611;59;1995;407;406;374;1828;2017-08-27;0;1016;3;2017-08-29;;9773;1574;2017-08-29
"BPM Online";26161;150;150;2017-11-28;;81;119;63;77;88;2083;39;166;85384;-22268;-27868;8.02;32;4.34;-6.263;0.82;-6.263;72392;-15040;2017-08-27;16;163919;56;1675;91;90;87;1447;2017-08-27;6;10946;480;2017-08-29;;1361;231;2017-08-29
Capsule;26165;;;;;67;82;77;25;85;1131;73;302;20784;1178;869;29.8;-4.952;16.1;-10.54;11.3;-10.54;6854;939;2017-08-27;56;58655;59;21183;1431;1343;1124;11341;2017-08-27;;;;;;3127;247;2017-08-29
Charibase;26167;30;30;2017-10-28;;49;73;0;69;84;;;9;9555587;-1673978;-1203136;0.02;20;3;40;0;40;7943267;-2712578;2017-08-27;12;2289310;47;6;4;4;4;6;2017-08-27;;;;;;711;43;2017-08-29
Clarizen;26170;200;200;2017-11-28;;84;120;68;87;85;1436;61;1194;47369;-2859;-1920;15.3;2;5.13;12;1.85;12;36290;-4783;2017-08-27;11;136719;57;1247;90;92;89;1142;2017-08-27;0;3451;8;2017-08-29;;9540;120;2017-08-29
Datafakt;26174;;;;;32;77;0;25;56;;;1;7019747;-4770899;-4611291;0.02;100;9;100;0;100;3748499;-5334811;2017-08-25;5;92152353;22;26;10;7;7;26;2017-08-25;0;38;0;2017-08-29;;17;0;2017-08-29
Daylite;26176;32;32;2017-11-28;;74;118;41;69;101;1383;63;421;332923;59371;54791;1.8;-22.51;2.4;-7.004;0.1;-7.004;386782;80258;2017-08-27;16;73611;59;1995;407;406;374;1828;2017-08-27;0;1016;3;2017-08-29;;9773;1574;2017-08-29
Debitoor;26178;10;10;2017-11-28;;78;116;70;63;82;2081;40;52;55261;5465;2822;14.6;-7.604;3.2;-20.2;1.09;-20.2;56565;12190;2017-08-27;41;358307;53;12826;399;390;351;8634;2017-08-27;0;0;0;2017-08-29;;1212;713;2017-08-29
Deskflow;26179;5;5;2017-01-19;;45;102;0;59;60;;;1;16191558;2732866;2522026;0.01;-20;1;0;0;0;18026009;1873508;2017-08-25;4;58004552;30;0;0;0;0;0;2017-08-25;0;1072;5;2017-08-29;;436;2;2017-08-29
Digitaalkantoor;26181;10;10;2017-11-28;;54;112;0;63;88;;;20;5387740;3242284;2974355;0.05;-67.925;2;-45.48;0;-45.48;5661237;3814683;2017-08-25;10;930529;50;734;69;52;51;734;2017-08-25;0;0;0;2017-08-29;;1253;0;2017-08-29
DigitaleFactuur;26182;;;;;30;102;17;25;11;;;1;2781609;403047;240527;0.15;-15.38;1;-16.54;0;-16.54;4050350;754328;2017-08-25;0;0;0;0;0;0;0;0;2017-08-25;0;783;0;2017-08-29;;305;54;2017-08-29
Dolibarr;26183;390;390;2017-11-28;;84;119;58;83;100;2207;36;2673;155593;21726;25831;3.9;-19.6;4.2;3;0.38;3;133677;16502;2017-08-25;34;38463;61;1896;112;105;101;908;2017-08-25;0;34707;55;2017-08-29;;285;6;2017-08-29
Efficy;26186;60;60;2017-11-28;;68;85;31;84;96;1005;78;59;786409;5839;47507;0.56;-9.692;3;20;0.04;20;782132;-84685;2017-08-25;18;629279;52;70;31;13;12;70;2017-08-25;9;282;3;2017-08-29;;105;0;2017-08-29
Emnis;26187;30;30;2017-11-28;;36;0;0;69;75;;;6;9843691;-8518310;-6178789;0.02;100;3;200;0;200;9161757;-11119056;2017-08-25;28;3890107;45;381;61;54;51;379;2017-08-25;;;;;;;;
Factusol;26190;60;60;2017-11-28;;64;121;22;75;79;;;6;;;;;;;;;;;;2017-08-27;7;16983877;39;1;1;1;1;1;2017-08-27;667;14611;215;2017-08-29;;2639;5789;2017-08-29
Factuursturen.be;26191;;;;;32;94;0;25;46;620;92;24;778701;326698;369702;0.5;-49.865;4.5;-10.4;0.05;-10.4;624817;278749;2017-08-25;11;1407635;49;50;14;15;14;41;2017-08-25;0;0;0;2017-08-29;;94;30;2017-08-29
Flowcrm;26192;30;30;2017-11-28;;56;96;12;69;83;1392;49;17;5072353;1968528;1712901;0.07;-48.936;1;-7.207;0;-7.207;6955507;2553115;2017-08-27;24;1132816;50;33382;78;60;58;33121;2017-08-27;9;132;0;2017-08-29;;338;110;2017-08-29
Forcemanager;26193;100;100;2017-11-28;;68;117;31;85;74;2324;34;73;396492;5105;24421;1.2;-9.356;4.6;20;0.13;20;319490;-34781;2017-08-27;33;1244105;49;5395;249;256;231;3299;2017-08-27;10;6259;4;2017-08-29;;1208;219;2017-08-29
Freshbooks;26194;290;290;2017-11-28;;101;137;93;81;110;1764;49;2284;5377;82;-131;158;0.6;4.59;-5.943;16.95;-5.943;4576;222;2017-08-27;26;4258;68;344460;1420;1351;1140;344260;2017-08-27;0;0;0;2017-08-29;;20530;5969;2017-08-29
Aareon;26197;;;;;41;0;35;35;81;;;17;2066477;85229;445828;0.13;-25.76;5.1;100;0.02;100;1496448;-561394;2017-08-25;11;598384;52;2;2;2;2;2;2017-08-25;;;;;;;;
HQLabs;26198;5;5;2017-01-19;;63;103;29;62;87;608;92;25;847468;133228;62508;0.57;-12.13;2;-31.29;0.03;-31.29;1023672;301620;2017-08-27;14;1287539;49;21;9;10;10;12;2017-08-27;0;2396;73;2017-08-29;;361;160;2017-08-29
iMuis;26199;15;15;2017-11-28;;57;106;0;65;100;;;36;2857999;395826;542488;0.1;-26.53;3.1;20;0.01;20;2627872;125506;2017-08-25;13;69469;59;97;16;16;16;93;2017-08-25;8;302;17;2017-08-29;;954;25;2017-08-29
"Infusion Soft";26200;700;700;2017-11-28;;116;142;113;92;128;1622;54;2308;713;-11;-9;1,129;-0.26;2.73;3;72.32;3;984;-39;2017-08-27;24;706;74;16438;848;767;679;16299;2017-08-27;830;178807;1801;2017-08-29;;30426;8468;2017-08-29
Insusoft;26201;75;75;2017-11-28;;51;47;13;74;86;883;83;85;5372717;-3074789;-3095221;0.04;90;3;20;0;20;4588669;-3235220;2017-08-27;14;1202397;49;6928;31;10;10;6901;2017-08-27;;;;;;1;0;2017-08-29
Isiigo;26202;;;;;41;95;13;29;62;;;6;11538255;-469878;-445299;0.02;0;1;0;0;0;14048101;-680844;2017-08-25;18;39413694;34;97;23;22;22;43;2017-08-25;0;45;0;2017-08-29;;295;21;2017-08-29
itool.com;26203;15;15;2017-11-28;;58;98;13;65;91;1053;67;65;2076028;875925;820544;0.2;-55.357;1.3;10;0.01;10;2878167;1053973;2017-08-25;21;991745;50;52;22;21;21;52;2017-08-25;2;122;0;2017-08-29;;1075;95;2017-08-29
King;26204;75;75;2017-11-28;;65;113;17;74;95;;;24;3973621;614632;256866;0.08;-12.12;1;-35.37;0;-35.37;4897864;1393958;2017-08-27;14;306194;54;7;6;6;6;7;2017-08-27;26;1759;34;2017-08-29;;4721;49;2017-08-29
Koalaboox;26205;5;5;2017-09-28;;64;102;52;59;65;1639;54;50;352713;101461;115427;1.2;-32.51;8.3;-25.43;0.23;-25.43;199054;81759;2017-08-25;18;4951423;45;74;18;18;17;68;2017-08-25;1;1328;71;2017-08-29;;307;92;2017-08-29
"Less Annoying CRM";26206;16;16;2017-11-28;;73;107;61;65;76;2161;37;60;83544;-2156;-4751;9.3;3;2.8;-9.032;0.62;-9.032;91340;3052;2017-08-27;12;489697;52;206;41;42;42;178;2017-08-27;41;1531;9;2017-08-29;;645;564;2017-08-29
Liquidplanner;26207;70;70;2017-11-28;;83;128;69;73;85;2434;31;333;42006;-389;-643;21.5;-0.18;2.53;-1.94;1.27;-1.94;49711;212;2017-08-27;13;152907;56;1081;128;138;129;970;2017-08-27;180;18737;109;2017-08-29;;6826;254;2017-08-29
Sage;26208;15;15;2017-09-28;;101;137;100;82;100;1826;47;364;23016;-1409;-1938;28.3;5;11.9;0.7;7.89;0.7;9809;-584;2017-08-27;44;54657;59;40155;865;852;727;29693;2017-08-27;4338;616813;184;2017-08-29;;3349;596;2017-08-29
Logidrive;26209;15;15;2017-11-28;;52;98;0;65;87;3666;16;10;16538998;957680;898968;0.01;-25;1;0;0;0;18297081;444151;2017-08-25;13;731282;51;8;5;5;5;8;2017-08-25;1;591;0;2017-08-29;;312;14;2017-08-29
MacFour;26210;;;;;21;0;0;25;60;;;1;;;;;;;;;;;;2017-08-25;6;53818291;31;1;1;1;1;1;2017-08-25;;;;;;;;
Malinko;26212;5;5;2017-11-28;;44;71;11;59;60;1707;41;31;315156;-208404;-336916;1;84;36;2;0.86;2;69509;-48085;2017-08-25;16;10051210;42;86;11;12;11;86;2017-08-25;;;;;;1001;13;2017-08-29
Maximizer;26213;154;154;2017-11-28;;79;120;43;85;99;1091;75;241;337956;-31390;-30035;1.9;8;1.9;1;0.08;1;444222;-41278;2017-08-27;11;122486;57;386;69;73;71;265;2017-08-27;20;1294;8;2017-08-29;;14809;454;2017-08-29
MKB-logic;26214;5;5;2017-11-28;;36;0;0;59;84;;;16;18193504;-28169;535603;0.01;0;2;0;0;0;16541866;-254788;2017-08-25;15;1032292;50;11;11;9;8;11;2017-08-25;;;;;;;;
Mycosuite;26216;5;5;2017-11-28;;42;69;0;61;65;;;22;8053641;473996;567191;0.02;-18.18;2;4;0;4;8231748;274323;2017-08-25;11;23516726;37;732;9;8;8;709;2017-08-25;;;;;;207;0;2017-08-29
Netsuite;26217;4603;4603;2017-11-28;635794669.65;115;141;103;115;118;2774;25;3000;2552;-376;-500;275;13;7.37;-1.34;47.58;-1.34;1520;-203;2017-08-27;16;2653;69;4385;385;355;327;4111;2017-08-27;0;12438;147;2017-08-29;;20446;2431;2017-08-29
Nimble;26219;1000;1000;2017-11-28;;86;130;64;88;91;1950;43;811;65509;-80;-3054;10.2;1;5.79;-12.41;1.39;-12.41;46110;3672;2017-08-25;16;40013;61;1929;320;306;283;1907;2017-08-25;0;0;0;2017-08-29;;49472;7278;2017-08-29
"Paymo Timetracking";26223;22;22;2017-11-28;;76;118;61;67;80;2019;41;95;62237;-2816;-2793;13.2;3;2.79;0.4;0.87;0.4;68857;-3285;2017-08-25;13;182519;56;155;36;37;36;115;2017-08-25;0;0;0;2017-08-29;;6459;97;2017-08-29
Perfectview;26225;15;15;2017-11-28;;31;0;0;69;54;1645;48;65;1060423;-252024;-338164;0.44;40;1.8;-24.69;0.02;-24.69;1326036;-90063;2017-08-27;21;600349;52;140;20;21;20;116;2017-08-27;;;;;;;;
"Pipeline Deals";26226;29;29;2017-11-28;;78;121;60;73;83;2038;41;755;63022;-20878;-28563;9.21;36;11.2;3;2.43;3;28734;-10380;2017-08-25;11;197384;55;921;138;131;127;893;2017-08-25;97;10720;15;2017-08-29;;3706;1790;2017-08-29
ProAd;26228;;;;;56;104;33;28;90;324;98;41;568645;47671;20357;0.99;-7.379;1.8;-16.51;0.04;-16.51;741988;117556;2017-08-25;32;605833;52;771;98;82;79;406;2017-08-25;0;1907;20;2017-08-29;;564;24;2017-08-29
Projectfacts;26229;;;;;38;91;0;25;72;;;2;6901176;-10845013;-15882149;0.03;400;3.6;-46.56;0;-46.56;5595861;-5289951;2017-08-27;9;14305807;40;415;2;2;2;415;2017-08-27;0;0;0;2017-08-29;;124;1;2017-08-29
Reviso;26231;;;;;56;50;58;25;89;1013;78;25;143201;-22202;-33114;4.5;23;3.6;-18.18;0.38;-18.18;134613;-2860;2017-08-27;17;238285;55;146;13;13;13;58;2017-08-27;;;;;;3;0;2017-08-29
"Salary book";26233;;;;;36;103;0;25;59;;;5;;;;;;;;;;;;2017-08-25;4;70268487;27;1;1;1;1;1;2017-08-25;0;0;0;2017-08-29;;586;33;2017-08-29
Smartsheet;26235;730;730;2017-11-28;;101;128;98;86;107;1488;59;729;2800;-290;-156;382;6.4;1.72;4.2;15.4;4.2;5024;-597;2017-08-27;21;6654;67;2605;397;366;318;2538;2017-08-27;0;10837;47;2017-08-29;;13653;5409;2017-08-29
Snelstart;26236;120;120;2017-11-28;;72;117;33;76;94;1022;77;144;757644;127437;96683;0.59;-17.42;2.9;-21.49;0.04;-21.49;776244;203471;2017-08-27;12;52696;60;194;35;35;35;160;2017-08-27;24;2828;70;2017-08-29;;3504;1376;2017-08-29
Streamtime;26237;15;15;2017-11-28;;67;114;36;73;78;1495;59;43;561392;194803;206593;0.88;-43.92;2.8;3;0.06;3;593777;194692;2017-08-27;37;1922553;48;2989;176;196;189;2350;2017-08-27;0;582;4;2017-08-29;;6284;1008;2017-08-29
Thinx;26239;;;;;27;44;0;25;56;;;;;;;;;;;;;;;2017-08-25;1;87310464;23;0;0;0;0;0;2017-08-25;;;;;;2;0;2017-08-29
Toggl;26241;39;39;2017-11-28;;94;132;95;70;95;2592;28;639;3428;-152;-195;294;4.4;2.21;-3.49;15.2;-3.49;5073;-111;2017-08-25;83;13524;64;28517;4596;3983;3078;25439;2017-08-25;0;12085;1143;2017-08-29;;20350;4705;2017-08-29
Tomsplanner;26242;5;5;2017-11-28;;70;106;52;59;87;2430;31;185;124304;-5547;-7118;7.3;5;1.4;-5.556;0.23;-5.556;197068;-3663;2017-08-27;13;182163;56;1047;151;145;125;996;2017-08-27;0;0;0;2017-08-29;;803;42;2017-08-29
